"model","term","x","component_residual_smooth"
"linear","imc",16.0199359202563,0.186555367721317
"linear","imc",16.0199359202563,0.186555367721317
"linear","imc",16.025641025641,0.186989355828055
"linear","imc",16.037956497043,0.187987833205028
"linear","imc",16.037956497043,0.187987833205028
"linear","imc",16.058123929844,0.189622908692291
"linear","imc",16.058123929844,0.189622908692291
"linear","imc",16.0590277777778,0.18969618820264
"linear","imc",16.0590277777778,0.18969618820264
"linear","imc",16.1362284354551,0.195955234865346
"linear","imc",16.1362284354551,0.195955234865346
"linear","imc",16.1362284354551,0.195955234865346
"linear","imc",16.149843912591,0.19705911026347
"linear","imc",16.149843912591,0.19705911026347
"linear","imc",16.149843912591,0.19705911026347
"linear","imc",16.2578022935114,0.20634154586571
"linear","imc",16.2578022935114,0.20634154586571
"linear","imc",16.328125,0.212388005517946
"linear","imc",16.336379098928,0.213097706247996
"linear","imc",16.336379098928,0.213097706247996
"linear","imc",16.3608033240997,0.215404793080537
"linear","imc",16.3608033240997,0.215404793080537
"linear","imc",16.3901172461357,0.218173755578389
"linear","imc",16.3901172461357,0.218173755578389
"linear","imc",16.3959723776089,0.21872682518979
"linear","imc",16.3959723776089,0.21872682518979
"linear","imc",16.4195909176206,0.220957807842537
"linear","imc",16.4195909176206,0.220957807842537
"linear","imc",16.4365548980934,0.222560207742684
"linear","imc",16.4365548980934,0.222560207742684
"linear","imc",16.4939581914016,0.227982462950583
"linear","imc",16.5289256198347,0.231285449765467
"linear","imc",16.5289256198347,0.231285449765467
"linear","imc",16.5289256198347,0.231285449765467
"linear","imc",16.6137671097005,0.241428267167029
"linear","imc",16.6137671097005,0.241428267167029
"linear","imc",16.6267299134432,0.242977972995899
"linear","imc",16.6267299134432,0.242977972995899
"linear","imc",16.643598615917,0.244994629813964
"linear","imc",16.643598615917,0.244994629813964
"linear","imc",16.673240345656,0.248538304644348
"linear","imc",16.673240345656,0.248538304644348
"linear","imc",16.7285665241409,0.255152560556014
"linear","imc",16.7285665241409,0.255152560556014
"linear","imc",16.7285665241409,0.255152560556014
"linear","imc",16.732570239334,0.255631205523182
"linear","imc",16.732570239334,0.255631205523182
"linear","imc",16.732570239334,0.255631205523182
"linear","imc",16.7958132175747,0.264924545909994
"linear","imc",16.8110438669356,0.267162637991683
"linear","imc",16.8110438669356,0.267162637991683
"linear","imc",16.8242268867169,0.269099837876335
"linear","imc",16.8242268867169,0.269099837876335
"linear","imc",16.8242268867169,0.269099837876335
"linear","imc",16.8413666067278,0.271618461391972
"linear","imc",16.8642845697805,0.27498617805469
"linear","imc",16.875,0.2765607740524
"linear","imc",16.8901546616036,0.278787699991797
"linear","imc",16.8901546616036,0.278787699991797
"linear","imc",16.8911310301338,0.27893117402396
"linear","imc",16.8911310301338,0.27893117402396
"linear","imc",16.8990634755463,0.280096819876971
"linear","imc",16.8990634755463,0.280096819876971
"linear","imc",16.901027582477,0.280385438705037
"linear","imc",16.9204152249135,0.283234386769662
"linear","imc",16.9204152249135,0.283234386769662
"linear","imc",16.9204152249135,0.283234386769662
"linear","imc",16.9370318792578,0.285676147565993
"linear","imc",16.9370318792578,0.285676147565993
"linear","imc",16.9370318792578,0.285676147565993
"linear","imc",16.9370318792578,0.285676147565993
"linear","imc",16.9667590027701,0.290184465498088
"linear","imc",16.9667590027701,0.290184465498088
"linear","imc",17.0123075764989,0.29709221261456
"linear","imc",17.0123075764989,0.29709221261456
"linear","imc",17.0123075764989,0.29709221261456
"linear","imc",17.0318046541647,0.300049075387636
