"family","repeat_id","outer_fold","config_id","alpha","lambda_fraction","lambda","lambda_max","best_mean_metric","best_se_metric","one_se_threshold","selected_mean_metric","selected_se_metric","converged","objective","kkt_max","failure_reason","n_features"
"continuous",3,2,11,0,0.01,0.553271522449934,55.3271522449934,4.2111868184449,0.118275128103844,4.32946194654874,4.2485424533625,0.0875153659135472,TRUE,9.1533339507322,0.00000000816438482098558,,48
"logistic",3,2,11,0,0.01,0.0510276449855468,5.10276449855468,0.480363905989796,0.0234415098180092,0.503805415807805,0.483711001663864,0.0207406654197425,TRUE,0.472821319191197,0.00000000011002712282937,,48
"continuous",3,3,11,0,0.01,0.579705839510625,57.9705839510625,4.13459062620951,0.169463460227069,4.30405408643658,4.20337147435071,0.15816587773397,TRUE,9.23867077549987,0.00000000725693289835294,,48
"logistic",3,3,11,0,0.01,0.0510306445331957,5.10306445331957,0.477932492185487,0.0194947288216774,0.497427221007164,0.482825417299916,0.0153868827737572,TRUE,0.470746166021072,0.000000000129454214709002,,48
"continuous",3,4,11,0,0.01,0.56787145571876,56.787145571876,4.17191640611177,0.130609864625949,4.30252627073772,4.17191640611177,0.130609864625949,TRUE,8.84566585372203,0.0000000099866550515304,,48
"logistic",3,4,11,0,0.01,0.0536540962689274,5.36540962689274,0.477195428251404,0.0265731197448959,0.5037685479963,0.479477502526969,0.0215739518385167,TRUE,0.46683167006081,0.0000000000862251641614575,,48
"continuous",3,5,11,0,0.01,0.554680294291891,55.468029429189,4.10967366272274,0.0931236033433494,4.20279726606609,4.148780923893,0.113626410969631,TRUE,8.94127521719054,0.00000000521188777552473,,48
"logistic",3,5,11,0,0.01,0.0518301517656218,5.18301517656217,0.47287823007714,0.0162741516800772,0.489152381757217,0.473308500682777,0.0162606649667164,TRUE,0.468591691767751,0.0000000000700006927423225,,48
"continuous",3,6,16,0,0.001,0.0555408750172787,55.5408750172787,4.10985360871575,0.0735700925020809,4.18342370121784,4.12153998349084,0.0723015437622895,TRUE,7.69025509296426,0.00000000893606875388558,,48
"logistic",3,6,11,0,0.01,0.0512762321179558,5.12762321179558,0.473445873586138,0.028737404253603,0.502183277839741,0.478844801666434,0.0226549265353111,TRUE,0.471809313436282,0.000000000129778793614421,,48
"continuous",3,7,11,0,0.01,0.565408025400317,56.5408025400317,4.2167751905009,0.116899371728603,4.3336745622295,4.22940332097191,0.12157301273481,TRUE,9.06023530611347,0.00000000837672913325815,,48
"logistic",3,7,11,0,0.01,0.0536627195628037,5.36627195628037,0.471585763703888,0.0171841254902411,0.48876988919413,0.471585763703888,0.0171841254902411,TRUE,0.460697539134444,0.0000000000910202486298362,,48
"continuous",3,8,11,0,0.01,0.547445549588236,54.7445549588236,4.13532596512006,0.161537574680816,4.29686353980088,4.17958547146034,0.163656123790886,TRUE,8.91485693776851,0.00000000661591566253339,,48
"logistic",3,8,11,0,0.01,0.0508345076243009,5.08345076243009,0.478147512076571,0.0100689738540105,0.488216485930582,0.484185490531571,0.0074369066025986,TRUE,0.474117767370433,0.000000000083759650257309,,48
