"order","theoretical_quantile","standardized_residual_quantile"
554,1.2815515655446,1.20485943414264
555,1.29087228419032,1.21503924424634
556,1.30030651807407,1.21503924424634
557,1.30985792699903,1.23838958561419
558,1.3195303519163,1.24795486785343
559,1.32932782726424,1.25271210801844
560,1.33925459438454,1.25271210801844
561,1.34931511613001,1.26072384279322
562,1.3595140927944,1.26072384279322
563,1.3698564795108,1.27351332772829
564,1.38034750528526,1.30280783494954
565,1.39099269385435,1.30710322791788
566,1.40179788658148,1.30710322791788
567,1.4127692676372,1.30827391621246
568,1.42391339174375,1.30827391621246
569,1.43523721480509,1.37208582521824
570,1.44674812779233,1.37208582521824
571,1.45845399431037,1.38430222111509
572,1.47036319233901,1.38430222111509
573,1.48248466072035,1.43469140232595
574,1.49482795105845,1.43469140232595
575,1.50740328580919,1.4462975757106
576,1.52022162347218,1.4462975757106
577,1.53329473195809,1.47076405865898
578,1.54663527139923,1.52265682330139
579,1.56025688790784,1.52265682330139
580,1.57417432007449,1.53110792294023
581,1.5884035203523,1.53110792294023
582,1.60296179390798,1.53260058693056
583,1.61786795806015,1.53335282488438
584,1.633142526098,1.53335282488438
585,1.64880792011748,1.54371251151272
586,1.66488871857845,1.56691064540585
587,1.68141194564332,1.56691064540585
588,1.69840741109728,1.60115352849973
589,1.71590811189923,1.61600804130181
590,1.73395070934527,1.69022890670982
591,1.75257609968605,1.69022890670982
592,1.77183010116998,1.70463172968495
593,1.79176428737852,1.70463172968495
594,1.81243700609099,1.70600283278848
595,1.83391463581591,1.70600283278848
596,1.85627315012545,1.71202687024618
597,1.87960008542096,1.71202687024618
598,1.90399704445073,1.73003748579101
599,1.92958292166868,1.78167278506544
600,1.95649811688115,1.8354155444476
601,1.9849101263866,1.83773135800995
602,2.01502109298799,1.83773135800995
603,2.04707820550413,1.88572447419171
604,2.0813883518297,1.96713825467206
605,2.11833931301367,1.96713825467206
606,2.15843137002339,1.97765618764908
607,2.20232617662477,2.02397044068346
608,2.25092569650279,2.02397044068346
609,2.30550671017834,2.18890490765753
610,2.36796601350488,2.27384478274591
611,2.44130852746013,2.27384478274591
612,2.53074322872746,2.36112019784251
613,2.64661933920864,2.36112019784251
614,2.81497856239491,2.47563123681723
615,3.15119906702205,2.47563123681723
