"unit_type","unit","family","variable","component","additional","selection_count","selection_frequency","mean_abs_coefficient","median_abs_coefficient","n_models"
"componente","correcao_colete_x_lenke__2","logistic","correcao_colete_x_lenke","interaction",TRUE,50,1,0.257222092148412,0.241575924797537,50
"componente","correcao_colete_x_lenke__3","continuous","correcao_colete_x_lenke","interaction",TRUE,50,1,0.367846490858958,0.370955774932547,50
"componente","correcao_colete_x_lenke__3","logistic","correcao_colete_x_lenke","interaction",TRUE,50,1,0.261697917877548,0.265774767846247,50
"componente","correcao_colete_x_lenke__4","continuous","correcao_colete_x_lenke","interaction",TRUE,50,1,1.00082216919229,0.993027609283428,50
"componente","correcao_colete_x_lenke__4","logistic","correcao_colete_x_lenke","interaction",TRUE,50,1,0.492977718082182,0.487051258190679,50
"componente","correcao_colete_x_lenke__5","continuous","correcao_colete_x_lenke","interaction",TRUE,50,1,0.994497597332658,0.980095368425189,50
"componente","correcao_colete_x_lenke__5","logistic","correcao_colete_x_lenke","interaction",TRUE,50,1,0.390252319048785,0.368532396399721,50
"componente","correcao_colete_x_lenke__6","continuous","correcao_colete_x_lenke","interaction",TRUE,50,1,0.417555321768096,0.420443407473994,50
"componente","correcao_colete_x_lenke__6","logistic","correcao_colete_x_lenke","interaction",TRUE,50,1,0.421836213225122,0.411473659332837,50
"componente","escoliometro_maior_10_graus__dummy_lombar","continuous","escoliometro_maior_10_graus","dummy",FALSE,50,1,0.310563011506601,0.32573643183209,50
"componente","escoliometro_maior_10_graus__dummy_lombar","logistic","escoliometro_maior_10_graus","dummy",FALSE,49,0.98,0.0447154842535101,0.0294601185100971,50
"componente","escoliometro_maior_10_graus__dummy_toracica","continuous","escoliometro_maior_10_graus","dummy",FALSE,50,1,0.0560798254760171,0.0438235048471624,50
"componente","escoliometro_maior_10_graus__dummy_toracica","logistic","escoliometro_maior_10_graus","dummy",FALSE,49,0.98,0.0377028759776527,0.0297595219912524,50
"componente","escoliometro_maior_10_graus__dummy_toracica_lombar","continuous","escoliometro_maior_10_graus","dummy",FALSE,50,1,2.1790137327282,2.16021884220421,50
"componente","escoliometro_maior_10_graus__dummy_toracica_lombar","logistic","escoliometro_maior_10_graus","dummy",FALSE,50,1,0.777064688932001,0.737449890859709,50
"componente","flexibilidade__dummy_rigido","continuous","flexibilidade","dummy",FALSE,50,1,0.7709114542144,0.769301799284913,50
"componente","flexibilidade__dummy_rigido","logistic","flexibilidade","dummy",FALSE,50,1,0.318690296748048,0.3104375864323,50
"componente","idade__linear","continuous","idade","linear",FALSE,50,1,0.0547494170541797,0.0519180537142577,50
"componente","idade__linear","logistic","idade","linear",FALSE,49,0.98,0.0338608045509426,0.0344885546838832,50
"componente","idade__spline_1","continuous","idade","spline",TRUE,50,1,0.861209986167873,0.845115200202983,50
"componente","idade__spline_1","logistic","idade","spline",TRUE,48,0.96,0.318929163191487,0.339673196433806,50
"componente","idade__spline_2","continuous","idade","spline",TRUE,50,1,0.91950779729139,0.916705711386564,50
"componente","idade__spline_2","logistic","idade","spline",TRUE,50,1,0.407845708272218,0.420457732387982,50
"componente","idade__spline_3","continuous","idade","spline",TRUE,50,1,0.765322293592963,0.79320046273477,50
